brand,laptop_type,cpu,ram_gb,storage_gb,storage_type,gpu,screen_size_in,resolution,touchscreen,weight_kg,os,price_usd
Apple,Ultrabook,Intel Core i5,8,128.0,SSD,Intel,13.3,2560x1600,0,1.37,macOS,1019.7
Apple,Ultrabook,Intel Core i5,8,128.0,SSD,Intel,13.3,1440x900,0,1.34,macOS,684.22
HP,Notebook,Intel Core i5 7200U,8,256.0,SSD,Intel,15.6,1920x1080,0,1.86,No OS,437.66
Apple,Ultrabook,Intel Core i7,16,512.0,SSD,AMD,15.4,2880x1800,0,1.83,macOS,1931.36
Apple,Ultrabook,Intel Core i5,8,256.0,SSD,Intel,13.3,2560x1600,0,1.37,macOS,1372.8
Acer,Notebook,AMD A9-Series 9420,4,500.0,HDD,AMD,15.6,1366x768,0,2.1,Windows 10,304.46
Apple,Ultrabook,Intel Core i7,16,256.0,SSD,Intel,15.4,2880x1800,0,2.04,Mac OS X,1628.82
Apple,Ultrabook,Intel Core i5,8,256.0,SSD,Intel,13.3,1440x900,0,1.34,macOS,881.94
Asus,Ultrabook,Intel Core i7 8550U,16,512.0,SSD,Nvidia,14.0,1920x1080,0,1.3,Windows 10,1137.91
Acer,Ultrabook,Intel Core i5 8250U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.6,Windows 10,586.08
HP,Notebook,Intel Core i5 7200U,4,500.0,HDD,Intel,15.6,1366x768,0,1.86,No OS,299.81
HP,Notebook,Intel Core i3 6006U,4,500.0,HDD,Intel,15.6,1920x1080,0,1.86,No OS,262.59
Apple,Ultrabook,Intel Core i7,16,256.0,SSD,AMD,15.4,2880x1800,0,1.83,macOS,1857.17
Dell,Notebook,Intel Core i3 6006U,4,256.0,SSD,AMD,15.6,1920x1080,0,2.2,Windows 10,379.73
Apple,Ultrabook,Intel Core M m3,8,256.0,SSD,Intel,12.0,2304x1440,0,0.92,macOS,960.87
Apple,Ultrabook,Intel Core i5,8,256.0,SSD,Intel,13.3,2560x1600,0,1.37,macOS,1155.83
Dell,Notebook,Intel Core i7 7500U,8,256.0,SSD,AMD,15.6,1920x1080,0,2.2,Windows 10,567.05
Apple,Ultrabook,Intel Core i7,16,512.0,SSD,AMD,15.4,2880x1800,0,1.83,macOS,2175.35
Lenovo,Notebook,Intel Core i3 7100U,8,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.2,No OS,379.81
Dell,Ultrabook,Intel Core i5 8250U,8,128.0,SSD,Intel,13.3,1920x1080,1,1.22,Windows 10,745.16
Asus,Netbook,Intel Atom x5-Z8350,2,32.0,SSD,Intel,11.6,1366x768,0,0.98,Windows 10,146.06
Lenovo,Gaming,Intel Core i5 7300HQ,8,128.0,SSD,Nvidia,15.6,1920x1080,0,2.5,Windows 10,760.38
HP,Notebook,AMD E-Series E2-9000e,4,500.0,HDD,AMD,15.6,1366x768,0,1.86,No OS,196.37
Dell,2 in 1 Convertible,Intel Core i5 8250U,8,256.0,SSD,Intel,13.3,1920x1080,1,1.62,Windows 10,623.38
HP,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,Intel,15.6,1920x1080,0,1.91,Windows 10,501.59
Dell,Notebook,Intel Core i3 6006U,4,1024.0,HDD,Intel,15.6,1366x768,0,2.3,Windows 10,318.64
Apple,Ultrabook,Intel Core i5,8,128.0,SSD,Intel,13.3,1440x900,0,1.35,Mac OS X,836.5
Dell,Notebook,Intel Core i5 8250U,8,256.0,SSD,AMD,15.6,1920x1080,0,2.2,Windows 10,608.91
Dell,Ultrabook,Intel Core i7 8650U,8,256.0,SSD,Intel,15.6,1920x1080,0,1.88,Windows 10,987.96
HP,Notebook,Intel Core i5 8250U,8,1024.0,HDD,Nvidia,17.3,1920x1080,0,2.5,Windows 10,681.98
Chuwi,Notebook,Intel Atom x5-Z8300,4,64.0,SSD,Intel,15.6,1920x1080,0,1.89,Windows 10,186.47
Asus,Notebook,AMD E-Series E2-6110,2,32.0,SSD,AMD,14.0,1366x768,0,1.65,Windows 10,151.47
HP,Notebook,AMD A6-Series 9220,4,500.0,HDD,AMD,17.3,1920x1080,0,2.71,Windows 10,334.14
Dell,Ultrabook,Intel Core i7 8550U,16,512.0,SSD,Intel,13.3,3200x1800,1,1.2,Windows 10,1422.58
Apple,Ultrabook,Intel Core i5,8,256.0,SSD,Intel,13.3,1440x900,0,1.35,Mac OS X,759.62
Lenovo,Notebook,Intel Celeron Dual Core N3350,4,64.0,SSD,Intel,14.0,1366x768,0,1.44,Windows 10,189.52
Acer,Notebook,Intel Core i3 7130U,4,1024.0,HDD,Intel,15.6,1366x768,0,2.1,Linux,279.34
Dell,Notebook,Intel Core i5 8250U,8,128.0,SSD,AMD,17.3,1920x1080,0,2.8,Windows 10,745.16
HP,Notebook,Intel Core i5 7200U,4,1024.0,HDD,Intel,15.6,1366x768,0,1.86,Windows 10,371.96
HP,Notebook,Intel Core i5 8250U,8,256.0,SSD,Nvidia,15.6,1920x1080,0,2.1,Windows 10,669.04
Asus,Notebook,Intel Core i3 6006U,4,1024.0,HDD,Intel,15.6,1920x1080,0,2.0,Linux,296.08
Dell,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,15.6,1920x1080,0,2.65,Windows 10,1140.95
Asus,Notebook,Intel Core i5 7200U,8,1024.0,HDD,Nvidia,15.6,1366x768,0,2.3,Linux,398.07
Acer,Notebook,Intel Core i5 8250U,4,256.0,SSD,Intel,15.6,1920x1080,0,2.2,Windows 10,519.1
Dell,2 in 1 Convertible,Intel Core i5 8250U,12,1024.0,HDD,Nvidia,17.3,1920x1080,1,2.77,Windows 10,760.38
Apple,Ultrabook,Intel Core i5,8,256.0,SSD,Intel,13.3,2560x1600,0,1.37,macOS,1080.06
Lenovo,Notebook,Intel Core i3 6006U,4,128.0,SSD,Intel,15.6,1366x768,0,2.2,No OS,280.86
Asus,Gaming,AMD Ryzen 1700,8,256.0,SSD,AMD,17.3,1920x1080,0,3.2,Windows 10,988.72
Dell,Notebook,Intel Core i5 7200U,4,256.0,SSD,AMD,15.6,1920x1080,0,2.3,Windows 10,486.37
Asus,Notebook,Intel Pentium Quad Core N4200,4,1024.0,HDD,Nvidia,17.3,1366x768,0,2.8,Windows 10,354.69
Lenovo,2 in 1 Convertible,Intel Atom x5-Z8550,4,64.0,SSD,Intel,10.1,1920x1200,1,0.69,Android,242.8
Acer,Notebook,Intel Core i7 8550U,8,256.0,SSD,Nvidia,15.6,1920x1080,0,2.2,Windows 10,640.12
HP,Notebook,AMD A6-Series 9220,4,256.0,SSD,AMD,15.6,1920x1080,0,1.86,Windows 10,303.31
HP,Notebook,Intel Core i7 8550U,8,512.0,SSD,Intel,13.3,1920x1080,0,1.49,Windows 10,839.54
Acer,Notebook,Intel Core i3 7100U,4,1024.0,HDD,Intel,15.6,1366x768,0,2.4,Windows 10,292.28
Dell,Notebook,Intel Core i7 8550U,8,256.0,SSD,AMD,15.6,1920x1080,0,2.13,Windows 10,584.41
HP,Notebook,Intel Core i3 6006U,4,128.0,SSD,Intel,15.6,1920x1080,0,1.91,Windows 10,334.14
Asus,Notebook,Intel Core i5 7200U,4,256.0,SSD,Intel,15.6,1366x768,0,2.0,Windows 10,446.17
MSI,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,17.3,1920x1080,0,2.43,Windows 10,1864.04
Asus,Notebook,Intel Core i3 6006U,4,256.0,SSD,Intel,15.6,1920x1080,0,2.0,Linux,315.87
Dell,Notebook,Intel Core i7 8550U,16,256.0,SSD,AMD,17.3,1920x1080,0,2.8,Windows 10,988.72
Dell,Ultrabook,Intel Core i5 8250U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.7,Windows 10,669.04
Lenovo,Notebook,Intel Core i3 7130U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.7,No OS,455.92
Asus,Notebook,Intel Core i5 8250U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.4,Windows 10,716.24
HP,Notebook,Intel Core i5 7200U,8,256.0,SSD,Intel,15.6,1920x1080,0,1.86,Windows 10,525.19
Asus,Ultrabook,Intel Core i7 7700HQ,16,512.0,SSD,Nvidia,15.6,1920x1080,0,1.8,Windows 10,1509.35
HP,Notebook,Intel Core i3 6006U,4,500.0,HDD,AMD,15.6,1366x768,0,1.86,Windows 10,333.91
HP,Notebook,Intel Celeron Dual Core N3060,4,32.0,SSD,Intel,14.0,1366x768,0,1.44,Windows 10,174.3
Lenovo,Notebook,Intel Core i5 7200U,4,1024.0,HDD,Intel,15.6,1920x1080,0,1.9,Windows 10,417.87
Asus,Gaming,Intel Core i7 7700HQ,12,1024.0,HDD,Nvidia,17.3,1920x1080,0,3.0,Linux,722.32
Microsoft,Ultrabook,Intel Core i5 7200U,4,128.0,SSD,Intel,13.5,2256x1504,1,1.252,Windows 10 S,828.88
Dell,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,AMD,13.3,1920x1080,0,1.4,Windows 10,726.89
Dell,Notebook,Intel Core i7 8550U,8,256.0,SSD,AMD,15.6,1920x1080,0,2.2,Windows 10,662.19
MSI,Gaming,Intel Core i5 7300HQ,8,128.0,SSD,Nvidia,17.3,1920x1080,0,2.7,Windows 10,833.45
Acer,Notebook,Intel Core i3 6006U,8,1024.0,HDD,Intel,14.0,1366x768,0,2.1,Windows 10,296.08
Asus,Gaming,Intel Core i7 7700HQ,8,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.2,Windows 10,722.32
Lenovo,Notebook,Intel Core i5 7200U,8,2048.0,HDD,Intel,15.6,1920x1080,0,2.2,No OS,395.03
